group,id_player,outcome,total_count,stop_count,stop_prob,stop_overall
High-Risk,150,win,4539,21,0.4626569729015202,1.4276846679081316
High-Risk,151,loss,5706,41,0.7185418857343148,0.5718954248366013
High-Risk,151,win,1638,1,0.06105006105006105,0.5718954248366013
High-Risk,152,loss,54,1,1.8518518518518516,1.5384615384615385
High-Risk,152,win,11,0,0,1.5384615384615385
High-Risk,153,loss,10893,59,0.541632240888644,0.42442989712970286
High-Risk,153,win,3008,0,0,0.42442989712970286
High-Risk,154,loss,371,4,1.078167115902965,0.81799591002045
High-Risk,154,win,118,0,0,0.81799591002045
High-Risk,155,loss,4,1,25,14.285714285714285
High-Risk,155,win,3,0,0,14.285714285714285
High-Risk,156,loss,464,9,1.9396551724137931,1.477832512315271
High-Risk,156,win,145,0,0,1.477832512315271
High-Risk,157,loss,623,6,0.9630818619582664,0.7407407407407408
High-Risk,157,win,187,0,0,0.7407407407407408
High-Risk,158,loss,3238,36,1.1117974058060531,0.9092975676290065
High-Risk,158,win,1161,4,0.34453057708871665,0.9092975676290065
High-Risk,159,loss,10383,124,1.1942598478281807,0.9573994359507199
High-Risk,159,win,3091,5,0.16175994823681655,0.9573994359507199
High-Risk,160,loss,161,1,0.6211180124223602,0.4761904761904762
High-Risk,160,win,49,0,0,0.4761904761904762
High-Risk,161,loss,34884,477,1.3673890608875128,1.044414887818067
High-Risk,161,win,10979,2,0.018216595318335003,1.044414887818067
High-Risk,162,loss,4398,46,1.0459299681673488,0.8281938325991189
High-Risk,162,win,1277,1,0.07830853563038372,0.8281938325991189
High-Risk,163,loss,813,11,1.3530135301353015,1.1270491803278688
High-Risk,163,win,163,0,0,1.1270491803278688
High-Risk,164,loss,81,1,1.2345679012345678,1.0752688172043012
High-Risk,164,win,12,0,0,1.0752688172043012
High-Risk,165,loss,266,6,2.2556390977443606,2.0114942528735633
High-Risk,165,win,82,1,1.2195121951219512,2.0114942528735633
High-Risk,166,loss,41,2,4.878048780487805,4.166666666666666
High-Risk,166,win,7,0,0,4.166666666666666
High-Risk,167,loss,2815,63,2.238010657193606,1.676709457689285
High-Risk,167,win,1002,1,0.09980039920159679,1.676709457689285
High-Risk,168,loss,26,2,7.6923076923076925,5.555555555555555
High-Risk,168,win,10,0,0,5.555555555555555
High-Risk,169,loss,88,4,4.545454545454546,3.6363636363636362
High-Risk,169,win,22,0,0,3.6363636363636362
High-Risk,170,loss,1943,55,2.83067421513124,2.2134387351778657
High-Risk,170,win,587,1,0.17035775127768313,2.2134387351778657
High-Risk,171,loss,1806,32,1.7718715393133997,1.445466491458607
High-Risk,171,win,477,1,0.20964360587002098,1.445466491458607
High-Risk,172,loss,1520,19,1.25,1.1133603238866396
High-Risk,172,win,456,3,0.6578947368421052,1.1133603238866396
High-Risk,173,loss,356,4,1.1235955056179776,0.8385744234800839
High-Risk,173,win,121,0,0,0.8385744234800839
High-Risk,174,loss,46,2,4.3478260869565215,3.0303030303030303
High-Risk,174,win,20,0,0,3.0303030303030303
High-Risk,175,loss,7665,105,1.36986301369863,1.1783994261707142
High-Risk,175,win,2094,10,0.4775549188156638,1.1783994261707142
High-Risk,176,loss,29,1,3.4482758620689653,2.941176470588235
High-Risk,176,win,5,0,0,2.941176470588235
High-Risk,177,loss,18937,320,1.6898135924380842,1.3713832738803011
High-Risk,177,win,6293,26,0.4131574765612585,1.3713832738803011
High-Risk,178,loss,841,12,1.426872770511296,1.160541586073501
High-Risk,178,win,193,0,0,1.160541586073501
High-Risk,179,loss,4,2,50,33.33333333333333
High-Risk,179,win,2,0,0,33.33333333333333
High-Risk,180,loss,205,6,2.9268292682926833,2.3529411764705883
High-Risk,180,win,50,0,0,2.3529411764705883
High-Risk,181,loss,569,1,0.17574692442882248,0.1366120218579235
High-Risk,181,win,163,0,0,0.1366120218579235
High-Risk,182,loss,567,27,4.761904761904762,3.6684782608695654
High-Risk,182,win,169,0,0,3.6684782608695654
High-Risk,183,loss,63,2,3.1746031746031744,2.3529411764705883
High-Risk,183,win,22,0,0,2.3529411764705883
High-Risk,184,loss,375,8,2.1333333333333333,1.6528925619834711
High-Risk,184,win,109,0,0,1.6528925619834711
High-Risk,185,loss,57,1,1.7543859649122806,1.3888888888888888
High-Risk,185,win,15,0,0,1.3888888888888888
High-Risk,186,loss,2823,42,1.487778958554729,1.1554332874828062
High-Risk,186,win,812,0,0,1.1554332874828062
High-Risk,187,loss,2378,81,3.406223717409588,2.664526484751204
High-Risk,187,win,737,2,0.27137042062415195,2.664526484751204
High-Risk,188,loss,4275,54,1.263157894736842,0.9765625
High-Risk,188,win,1357,1,0.07369196757553427,0.9765625
High-Risk,189,loss,239,3,1.2552301255230125,1.0380622837370241
High-Risk,189,win,50,0,0,1.0380622837370241
High-Risk,190,loss,3114,60,1.9267822736030826,1.5110894467462832
High-Risk,190,win,989,2,0.20222446916076847,1.5110894467462832
High-Risk,191,loss,1309,18,1.3750954927425516,1.0676156583629894
High-Risk,191,win,377,0,0,1.0676156583629894
High-Risk,192,loss,1554,17,1.093951093951094,0.9519038076152305
High-Risk,192,win,442,2,0.4524886877828055,0.9519038076152305
High-Risk,193,loss,4818,48,0.9962640099626401,0.7502344482650828
High-Risk,193,win,1580,0,0,0.7502344482650828
High-Risk,194,loss,358,16,4.4692737430167595,3.5634743875278394
High-Risk,194,win,91,0,0,3.5634743875278394
High-Risk,195,loss,912,15,1.644736842105263,1.2520868113522539
High-Risk,195,win,286,0,0,1.2520868113522539
High-Risk,196,loss,791,31,3.919089759797725,3.0392156862745097
High-Risk,196,win,229,0,0,3.0392156862745097
High-Risk,197,loss,425,1,0.2352941176470588,0.17574692442882248
High-Risk,197,win,144,0,0,0.17574692442882248
High-Risk,198,loss,12183,162,1.3297217434129525,1.0146561443066515
High-Risk,198,win,3783,0,0,1.0146561443066515
High-Risk,199,loss,106,4,3.7735849056603774,2.9629629629629632
High-Risk,199,win,29,0,0,2.9629629629629632
High-Risk,200,loss,24,1,4.166666666666666,3.571428571428571
High-Risk,200,win,4,0,0,3.571428571428571
High-Risk,201,loss,89,2,2.247191011235955,1.8018018018018018
High-Risk,201,win,22,0,0,1.8018018018018018
High-Risk,202,loss,317,3,0.9463722397476341,0.7075471698113208
High-Risk,202,win,107,0,0,0.7075471698113208
High-Risk,203,loss,7148,149,2.084499160604365,1.5929014325422277
High-Risk,203,win,2206,0,0,1.5929014325422277
High-Risk,204,loss,101,1,0.9900990099009901,0.7462686567164178
High-Risk,204,win,33,0,0,0.7462686567164178
High-Risk,205,loss,2702,62,2.29459659511473,1.8077474892395984
High-Risk,205,win,783,1,0.1277139208173691,1.8077474892395984
High-Risk,206,loss,6326,110,1.7388555169143216,1.3565174497471946
High-Risk,206,win,1783,0,0,1.3565174497471946
High-Risk,207,loss,13287,159,1.1966583878979453,0.9136070347741677
High-Risk,207,win,4226,1,0.023663038334122102,0.9136070347741677
High-Risk,208,loss,21,0,0,3.571428571428571
High-Risk,208,win,7,1,14.285714285714285,3.571428571428571
High-Risk,209,loss,7,1,14.285714285714285,8.333333333333332
High-Risk,209,win,5,0,0,8.333333333333332
High-Risk,210,loss,3093,39,1.2609117361784674,0.9874105159219946
High-Risk,210,win,958,1,0.10438413361169101,0.9874105159219946
High-Risk,211,loss,13673,704,5.148833467417538,4.014120594431475
High-Risk,211,win,3890,1,0.025706940874035987,4.014120594431475
High-Risk,212,loss,72,3,4.166666666666666,3.4090909090909087
High-Risk,212,win,16,0,0,3.4090909090909087
High-Risk,213,loss,22415,466,2.0789649788088336,1.6057511421660846
High-Risk,213,win,7353,12,0.1631986944104447,1.6057511421660846
High-Risk,214,loss,48,4,8.333333333333332,7.017543859649122
High-Risk,214,win,9,0,0,7.017543859649122
High-Risk,215,loss,1353,20,1.4781966001478197,1.1061946902654867
High-Risk,215,win,455,0,0,1.1061946902654867
High-Risk,216,loss,265,2,0.7547169811320755,0.5649717514124294
High-Risk,216,win,89,0,0,0.5649717514124294
High-Risk,217,loss,1922,40,2.081165452653486,1.6645859342488558
High-Risk,217,win,481,0,0,1.6645859342488558
High-Risk,218,loss,18917,123,0.6502088068932707,0.5052954968065324
High-Risk,218,win,5821,2,0.03435835767050335,0.5052954968065324
High-Risk,219,loss,327,4,1.2232415902140672,0.9501187648456058
High-Risk,219,win,94,0,0,0.9501187648456058
High-Risk,220,loss,141,2,1.4184397163120568,1.1976047904191618
High-Risk,220,win,26,0,0,1.1976047904191618
High-Risk,221,loss,173,4,2.312138728323699,1.7777777777777777
High-Risk,221,win,52,0,0,1.7777777777777777
High-Risk,222,loss,399,7,1.7543859649122806,1.8108651911468814
High-Risk,222,win,98,2,2.0408163265306123,1.8108651911468814
High-Risk,223,loss,8463,94,1.1107172397494978,0.8734828981243105
High-Risk,223,win,2413,1,0.04144218814753419,0.8734828981243105
High-Risk,224,loss,563,14,2.4866785079928952,1.8494055482166447
High-Risk,224,win,194,0,0,1.8494055482166447
High-Risk,225,loss,9,1,11.11111111111111,9.090909090909092
