group,id_player,prev_outcome,n_round,rt_mean,rt_z_mean
High-Risk,HR_1043,win,14,985.1428571428571,-0.25388337999685034
High-Risk,HR_1044,loss,96,187.97916666666666,-0.1966937926220341
High-Risk,HR_1044,win,25,326,0.7553041636686106
High-Risk,HR_1045,loss,10,412.6,-2.741730453781344e-16
High-Risk,HR_1046,loss,40,1267.35,-0.02246176047247144
High-Risk,HR_1046,win,16,1295.9375,0.056154401181178884
High-Risk,HR_1047,loss,142,650.2183098591549,-0.038284099320522846
High-Risk,HR_1047,win,42,668.5,0.12943671675033777
High-Risk,HR_1048,loss,3978,483.6365007541478,-0.025535812521541627
High-Risk,HR_1048,win,1140,495.5219298245614,0.08910654579885412
High-Risk,HR_1049,loss,26,598.1923076923077,0.04529987114546223
High-Risk,HR_1049,win,6,554.3333333333334,-0.19629944163033636
High-Risk,HR_105,loss,24240,342.46130363036303,-0.016315354909658526
High-Risk,HR_105,win,7414,371.1083086053412,0.05334289223227984
High-Risk,HR_1050,loss,67,484.5223880597015,-0.07850509326626447
High-Risk,HR_1050,win,20,591,0.2629920624419859
High-Risk,HR_1051,loss,1079,295.93975903614455,-0.19689291817926044
High-Risk,HR_1051,win,340,472.75588235294117,0.6248454668100651
High-Risk,HR_1052,loss,988,783.256072874494,-0.10264527310523991
High-Risk,HR_1052,win,265,902.7924528301887,0.38269256538859253
High-Risk,HR_1053,loss,210,211.14285714285714,-0.3703623373043361
High-Risk,HR_1053,win,63,392.9047619047619,1.234541124347787
High-Risk,HR_1054,loss,777,358.66795366795367,-0.1897396321809861
High-Risk,HR_1054,win,250,477.212,0.589710776818505
High-Risk,HR_1055,loss,3961,580.3885382479172,-0.03675868909367524
High-Risk,HR_1055,win,1159,636.100086281277,0.12562654659193007
High-Risk,HR_1056,loss,1463,237.80177717019822,-0.20798065579211208
High-Risk,HR_1056,win,422,418.88862559241704,0.7210324630897151
High-Risk,HR_1057,loss,137,625.8029197080292,-0.06555912433687694
High-Risk,HR_1057,win,28,781.9642857142857,0.32077142979114864
High-Risk,HR_1058,loss,16,564.3125,-0.1303431807423731
High-Risk,HR_1058,win,4,676.25,0.5213727229694911
High-Risk,HR_1059,loss,1762,579.549943246311,-0.025717366358739932
High-Risk,HR_1059,win,564,604.9822695035461,0.08034397078741133
High-Risk,HR_106,loss,269,589.914498141264,0.0055774109210742695
High-Risk,HR_106,win,80,584.075,-0.018754044222111417
High-Risk,HR_1060,loss,485,270.45360824742266,0.0633464998064041
High-Risk,HR_1060,win,124,213.67741935483872,-0.24776655166214454
High-Risk,HR_1061,loss,910,409.7846153846154,-0.03937817088152853
High-Risk,HR_1061,win,342,436.41520467836256,0.1047781739830148
High-Risk,HR_1062,loss,136,335.00735294117646,0.03990715508551175
High-Risk,HR_1062,win,33,311.1515151515151,-0.16446585126150295
High-Risk,HR_1063,loss,58361,533.0255307482737,-0.03284757380524426
High-Risk,HR_1063,win,18772,565.7724270189644,0.1021210981700321
High-Risk,HR_1064,loss,7115,332.09880534082924,-0.051784708613783446
High-Risk,HR_1064,win,2206,396.96690843155034,0.1670209436931413
High-Risk,HR_1065,loss,1469,491.1361470388019,-0.03839302643023063
High-Risk,HR_1065,win,471,524.1634819532909,0.11974385525691898
High-Risk,HR_1066,loss,4712,559.8926146010186,-0.009979013563380327
High-Risk,HR_1066,win,1624,570.1791871921182,0.028953886644488048
High-Risk,HR_1067,loss,31,633.5806451612904,0.00665985256165751
High-Risk,HR_1067,win,10,628.1,-0.02064554294113846
High-Risk,HR_1068,loss,1828,659.1285557986871,-0.01927217434557204
High-Risk,HR_1068,win,516,699.8158914728682,0.06827429206144513
High-Risk,HR_1069,loss,1747,365.05323411562676,-0.07255984540959497
High-Risk,HR_1069,win,475,438.54315789473685,0.26686747353802637
High-Risk,HR_107,loss,9542,561.0814294697128,-0.06666847322607983
High-Risk,HR_107,win,2805,656.7978609625668,0.22679164760187265
High-Risk,HR_1070,loss,122,592.2213114754098,0.047267800912110254
High-Risk,HR_1070,win,29,498.82758620689657,-0.19885074866473998
High-Risk,HR_1071,loss,14,782.7142857142857,-0.01568440821993631
High-Risk,HR_1071,win,4,790.25,0.05489542876977607
High-Risk,HR_1072,loss,161,458.4968944099379,-0.046026162532479833
High-Risk,HR_1072,win,48,518.0625,0.1543794201610265
High-Risk,HR_1073,loss,2539,225.6085072863332,-0.18244250785619537
High-Risk,HR_1073,win,685,387.2102189781022,0.6762358064917952
High-Risk,HR_1074,loss,531,679.1129943502825,-0.06300124244700911
High-Risk,HR_1074,win,156,737.6602564102565,0.2144465367907817
High-Risk,HR_1075,loss,7844,656.7992095869454,-0.04106143686375057
High-Risk,HR_1075,win,2310,700.4285714285714,0.13943113019881392
High-Risk,HR_1076,loss,3050,563.5288524590164,-0.04945011566569939
High-Risk,HR_1076,win,979,605.1859039836568,0.15405807229865587
High-Risk,HR_1077,loss,1400,652.8364285714285,-0.027024950185167766
High-Risk,HR_1077,win,373,676.9624664879357,0.10143412938132594
High-Risk,HR_1078,loss,86,728.3488372093024,-0.008638147730681625
High-Risk,HR_1078,win,14,753.5,0.05306290748847284
High-Risk,HR_1079,loss,60,563.3,0.08382823782566165
High-Risk,HR_1079,win,14,536.5714285714286,-0.35926387639569146
High-Risk,HR_108,loss,1548,916.2002583979328,0.02801146981868875
High-Risk,HR_108,win,561,826.4973262032086,-0.07729368142483084
High-Risk,HR_1080,loss,336,541.139880952381,-0.0879932201468848
High-Risk,HR_1080,win,94,715.4255319148937,0.3145289571207799
High-Risk,HR_1081,loss,2443,398.8391322144904,-0.026824149266300498
High-Risk,HR_1081,win,839,423.5876042908224,0.07810655143929923
High-Risk,HR_1082,loss,1068,357.0936329588015,-0.02360107620936514
High-Risk,HR_1082,win,359,391.4066852367688,0.0702115581938772
High-Risk,HR_1083,loss,21,420.7142857142857,-0.12113122351868888
High-Risk,HR_1083,win,9,468.22222222222223,0.2826395215436081
High-Risk,HR_1084,loss,6302,516.6418597270708,-0.03822290449274994
High-Risk,HR_1084,win,1312,587.1775914634146,0.1835981281351448
High-Risk,HR_1085,loss,35,168.4,-0.1966246657965505
High-Risk,HR_1085,win,13,291,0.5293741002214825
High-Risk,HR_1086,loss,3907,566.9291016124904,0.0028612281837664174
High-Risk,HR_1086,win,1213,564.3520197856554,-0.00921584378728303
High-Risk,HR_1087,loss,23,483.5652173913044,-0.060186663789135585
High-Risk,HR_1087,win,2,557,0.6921466335750595
High-Risk,HR_1088,loss,1237,444.29991915925626,0.028389962645376902
High-Risk,HR_1088,win,361,415.82271468144046,-0.09728084153000323
High-Risk,HR_1089,loss,2,531.5,0
High-Risk,HR_109,loss,1532,371.76436031331593,-0.1742123673606132
High-Risk,HR_109,win,532,504.94736842105266,0.5016792233016151
High-Risk,HR_1090,loss,25,916.64,0.061951587218253806
High-Risk,HR_1090,win,5,757.6,-0.3097579360912689
High-Risk,HR_1091,loss,1538,362.10793237971393,-0.0358653500253847
High-Risk,HR_1091,win,460,409.9891304347826,0.11991501812835123
High-Risk,HR_1092,loss,47481,495.48469914281503,-0.06541886247987322
High-Risk,HR_1092,win,15836,558.264208133367,0.19614504984888007
High-Risk,HR_1093,loss,915,349.4808743169399,-0.019211897678181888
High-Risk,HR_1093,win,267,373.063670411985,0.0658385257510727
High-Risk,HR_1094,loss,368,240.44021739130434,-0.1422308342449781
High-Risk,HR_1094,win,131,294.9083969465649,0.3995492137568854
High-Risk,HR_1095,loss,3,529.3333333333334,-1.7659484985443896e-15
High-Risk,HR_1096,loss,77,665.8441558441558,-0.1282002123772448
High-Risk,HR_1096,win,17,1020.4705882352941,0.5806715501792851
High-Risk,HR_1097,loss,1364,452.15175953079176,-0.03842787075774728
High-Risk,HR_1097,win,412,495.4247572815534,0.12722236823681354
High-Risk,HR_1098,loss,118,540.9152542372881,-0.037854746701496876
High-Risk,HR_1098,win,27,572.1111111111111,0.16543926336209566
High-Risk,HR_1099,loss,156,681.7307692307693,0.033880740874428335
High-Risk,HR_1099,win,51,646.2549019607843,-0.10363520738060372
High-Risk,HR_11,loss,1054,461.87571157495256,-0.044567351089431016
High-Risk,HR_11,win,300,535.27,0.15657996016086786
High-Risk,HR_110,loss,673,264.23179791976224,-0.25903398968467883
High-Risk,HR_110,win,226,574.287610619469,0.771371128574287
High-Risk,HR_1100,loss,451,342.4168514412417,-0.051524432295699044
High-Risk,HR_1100,win,130,442.0615384615385,0.17875014588738644
High-Risk,HR_1101,loss,183,494.72131147540983,-0.2233645251327923
High-Risk,HR_1101,win,35,1065.2857142857142,1.1678773742657422
High-Risk,HR_1102,loss,29,611.4827586206897,0.022395985475359675
High-Risk,HR_1102,win,6,582.1666666666666,-0.10824726313090655
High-Risk,HR_1103,loss,2491,370.8153352067443,-0.03338947922666639
High-Risk,HR_1103,win,797,399.44416562107904,0.10435783281508869
High-Risk,HR_1104,loss,144,601.4027777777778,-0.05222774955413372
High-Risk,HR_1104,win,28,729.7142857142857,0.2685998548498298
High-Risk,HR_1105,loss,2294,478.7314734088928,-0.04191338155644976
High-Risk,HR_1105,win,666,547.9399399399399,0.14436831424999338
High-Risk,HR_1106,loss,48,528.3125,-0.24143002525281912
High-Risk,HR_1106,win,18,714.8888888888889,0.6438134006741835
High-Risk,HR_1107,loss,132,457.24242424242425,-0.06838989468897413
High-Risk,HR_1107,win,39,565.6410256410256,0.2314734897165279
High-Risk,HR_1108,loss,2783,313.298957959037,-0.18893466263270778
High-Risk,HR_1108,win,793,647.9886506935687,0.6630582170325672
High-Risk,HR_1109,loss,4855,293.50545829042227,-0.018560280720378446
High-Risk,HR_1109,win,1385,316.05559566787,0.06506148945663318
High-Risk,HR_111,loss,255,337.8313725490196,-0.07461842410714999
High-Risk,HR_111,win,80,467.75,0.23784622684154075
High-Risk,HR_1110,loss,452,466.146017699115,-0.2615308565973936
High-Risk,HR_1110,win,127,641.5669291338583,0.9308027337167077
High-Risk,HR_1111,loss,8455,391.05842696629213,-0.02006412386068735
High-Risk,HR_1111,win,2920,411.6972602739726,0.05809663261716121
High-Risk,HR_1112,loss,42,705.4047619047619,-0.26434934924607256
High-Risk,HR_1112,win,9,1208.7777777777778,1.2336302964816717
High-Risk,HR_1113,loss,337,357.60237388724033,-0.05420428725584062
High-Risk,HR_1113,win,75,407.88,0.2435579307362433
High-Risk,HR_1114,loss,44,716.7272727272727,0.05958010902760797
High-Risk,HR_1114,win,12,647.9166666666666,-0.21846039976789652
High-Risk,HR_1115,loss,90,814.7,-0.06442116829295713
High-Risk,HR_1115,win,19,942.3157894736842,0.3051529024403232
High-Risk,HR_1116,loss,796,526.0075376884422,-0.03949134615223498
High-Risk,HR_1116,win,143,631.1888111888112,0.21982595480544828
High-Risk,HR_1117,loss,449,242.67037861915367,-0.09175515140960727
High-Risk,HR_1117,win,141,313.01418439716315,0.29218484385045196
High-Risk,HR_1118,loss,1758,709.3270762229806,-0.06906170731862847
High-Risk,HR_1118,win,539,802.9035250463822,0.22525135708005384
High-Risk,HR_1119,loss,2050,526.6824390243902,-0.14336858921769424
High-Risk,HR_1119,win,611,634.6988543371522,0.48102390817720725
High-Risk,HR_112,loss,2992,262.2028743315508,-0.05493063086232264
High-Risk,HR_112,win,912,329.4078947368421,0.18021101703954967
High-Risk,HR_1120,loss,6148,341.0305790500976,-0.0507776309721174
High-Risk,HR_1120,win,1913,392.2624150548876,0.16318916634426417
High-Risk,HR_1121,loss,2,473.5,0
High-Risk,HR_1122,loss,464,596.1422413793103,-0.05698419494329643
High-Risk,HR_1122,win,140,666.8714285714286,0.18886190324064023
High-Risk,HR_1123,loss,60,640.0166666666667,-0.12161570963880597
High-Risk,HR_1123,win,16,857.25,0.4560589111455224
High-Risk,HR_1124,loss,5290,269.2682419659735,-0.0373205532903942
High-Risk,HR_1124,win,1621,300.7254780999383,0.12179255207044086
High-Risk,HR_1125,loss,2389,562.4018417748011,-0.044435441784871195
High-Risk,HR_1125,win,748,633.9679144385027,0.14192014762574537
High-Risk,HR_1126,loss,1443,1095.6264726264726,-0.10677148041805597
High-Risk,HR_1126,win,413,1374.7094430992736,0.37305386499577403
High-Risk,HR_1127,loss,2247,465.1299510458389,-0.16693473603335812
High-Risk,HR_1127,win,699,557.0586552217453,0.5366271128282634
High-Risk,HR_1128,loss,63,1017.3333333333334,0.1587818522931578
High-Risk,HR_1128,win,25,747.6,-0.40013026777875793
High-Risk,HR_1129,loss,25217,250.88206368719514,0.028186372275037817
High-Risk,HR_1129,win,8244,222.07120329936924,-0.0862173398422646
High-Risk,HR_113,loss,12132,561.8456973293769,-0.02031808107460266
High-Risk,HR_113,win,3064,589.8400783289817,0.08045005208782034
High-Risk,HR_1130,loss,15850,801.1846056782334,-0.02926637616228958
High-Risk,HR_1130,win,5202,838.8612072279892,0.08917186892969756
High-Risk,HR_1131,loss,74,429.1081081081081,-0.06572625499496822
High-Risk,HR_1131,win,24,493.2916666666667,0.20265595290115232
High-Risk,HR_1132,loss,7390,475.39485791610286,-0.010963895270162385
High-Risk,HR_1132,win,2102,486.49571836346337,0.03854575929900149
High-Risk,HR_1133,loss,655,513.6274809160305,-0.07427687027455072
High-Risk,HR_1133,win,201,599.9154228855722,0.24204651756134618
High-Risk,HR_1134,loss,378,397.98148148148147,0.011465147814070582
High-Risk,HR_1134,win,127,382.6771653543307,-0.03412461317888697
High-Risk,HR_1135,loss,202,645.6980198019802,-0.08014933154839572
High-Risk,HR_1135,win,45,749.6888888888889,0.3597814438394663
High-Risk,HR_1136,loss,69,414.1304347826087,0.0743086205660263
High-Risk,HR_1136,win,29,297.41379310344826,-0.17680326962261417
High-Risk,HR_1137,loss,3785,285.63645970937915,-0.039822380567517045
High-Risk,HR_1137,win,1231,333.99268887083673,0.12244330661905121
High-Risk,HR_1138,loss,267,607.9213483146067,0.06246005736890543
High-Risk,HR_1138,win,78,543.1666666666666,-0.21380558099356167
High-Risk,HR_1139,loss,678,586.8008849557522,-0.022675235023896095
High-Risk,HR_1139,win,223,611.1255605381166,0.06894084908610552
High-Risk,HR_114,loss,40421,316.2251799807031,-0.0710368874384891
High-Risk,HR_114,win,13895,371.47520690896005,0.2066485805794296
High-Risk,HR_1140,loss,5090,569.2172888015717,0.005976978621538191
High-Risk,HR_1140,win,1561,561.5246636771301,-0.01948931530021033
High-Risk,HR_1141,loss,393,539.7022900763359,-0.005330053199942906
High-Risk,HR_1141,win,102,552.5392156862745,0.020536381446838965
High-Risk,HR_1142,loss,16,1538.375,0.06776984933523075
High-Risk,HR_1142,win,4,1280,-0.27107939734092334
High-Risk,HR_1143,loss,318,347.8522012578616,0.02141557372245528
High-Risk,HR_1143,win,92,318.4782608695652,-0.07402339612761705
High-Risk,HR_1144,loss,1613,365.5412275263484,-0.040144465712464335
High-Risk,HR_1144,win,512,392.560546875,0.1264707484261819
High-Risk,HR_1145,loss,273,665.1831501831501,0.003960387297979445
High-Risk,HR_1145,win,86,659.0813953488372,-0.012571927120329588
High-Risk,HR_1146,loss,194,623.5154639175257,-0.1731123194966797
High-Risk,HR_1146,win,46,857.695652173913,0.7300823909207802
High-Risk,HR_1147,loss,146,458.4246575342466,-0.0950781636323383
High-Risk,HR_1147,win,35,604.4285714285714,0.3966117682948972
High-Risk,HR_1148,loss,89,563.1685393258427,-0.27446889696202975
High-Risk,HR_1148,win,23,832.3478260869565,1.0620752969400287
High-Risk,HR_1149,loss,1028,531.432879377432,0.005187409305192578
High-Risk,HR_1149,win,356,521.5674157303371,-0.01497937293746653
High-Risk,HR_115,loss,138,563.4347826086956,0.016471431453765333
High-Risk,HR_115,win,32,537.0625,-0.07103304814436347
High-Risk,HR_1150,loss,15608,584.1276909277294,-0.03067394061304836
High-Risk,HR_1150,win,4495,617.3494994438265,0.10650920246684187
High-Risk,HR_1151,loss,45,1123.3777777777777,-0.0773434908337509
High-Risk,HR_1151,win,20,1187.55,0.1740228543759392
High-Risk,HR_1152,loss,294,334.6020408163265,-0.024799229431727195
High-Risk,HR_1152,win,91,381.61538461538464,0.08012058739481082
High-Risk,HR_1153,loss,165,742.2,-0.01918571872176071
High-Risk,HR_1153,win,53,762.9245283018868,0.05972912432246176
High-Risk,HR_1154,loss,15,685.6,-0.17101219855873145
High-Risk,HR_1154,win,4,833.5,0.6412957445952439
High-Risk,HR_1155,loss,30,212.6,-0.09657001847587092
High-Risk,HR_1155,win,7,253.57142857142858,0.4138715077537323
High-Risk,HR_1156,loss,778,693.6760925449871,-0.051076160296748725
High-Risk,HR_1156,win,237,791.1392405063291,0.16766773295726
High-Risk,HR_1157,loss,534,451.96816479400746,-0.10194767771796114
High-Risk,HR_1157,win,178,580.7640449438202,0.30584303315388356
High-Risk,HR_1158,loss,600,449.1333333333333,-0.061079463745731345
High-Risk,HR_1158,win,159,491.37106918238993,0.23048854243672134
High-Risk,HR_1159,loss,704,475.9630681818182,-0.16774911586555116
High-Risk,HR_1159,win,202,627.0544554455446,0.5846305820264758
High-Risk,HR_116,loss,1627,412.6662569145667,-0.15470397824919527
High-Risk,HR_116,win,487,563.0698151950719,0.5168447076210281
High-Risk,HR_1160,loss,1907,417.67121132669115,-0.09859599793156593
High-Risk,HR_1160,win,480,550.3583333333333,0.39171368344895074
High-Risk,HR_1161,loss,558,349.76344086021504,-0.06350505477816956
High-Risk,HR_1161,win,171,424.1578947368421,0.20722702085507994
High-Risk,HR_1162,loss,63,462.36507936507934,-0.24591838678206426
High-Risk,HR_1162,win,19,640.9473684210526,0.8154135982773708
High-Risk,HR_1163,loss,2932,596.9621418826739,-0.05446954104235153
High-Risk,HR_1163,win,872,704.75,0.1831475852479066
High-Risk,HR_1164,loss,536,788.9794776119403,-0.02419024150717068
High-Risk,HR_1164,win,176,849.0909090909091,0.07367028095365583
High-Risk,HR_1165,loss,88,380.96590909090907,-0.08949608800498238
High-Risk,HR_1165,win,33,466.1818181818182,0.23865623467995267
High-Risk,HR_1166,loss,21,463.5238095238095,-0.21277131478840666
High-Risk,HR_1166,win,5,1284.8,0.893639522111308
High-Risk,HR_1167,loss,405,539.9506172839506,-0.07621810624390765
High-Risk,HR_1167,win,113,698.433628318584,0.27317108875028845
High-Risk,HR_1168,loss,2,511,-0.8342364269201733
High-Risk,HR_1168,win,3,711.6666666666666,0.5561576179467824
High-Risk,HR_1169,loss,11170,685.4790510295434,-0.044092178125637906
High-Risk,HR_1169,win,3881,723.5217727389849,0.12690276466461706
High-Risk,HR_117,loss,71,746.943661971831,-0.030033600803207654
High-Risk,HR_117,win,28,790.5357142857143,0.0761566306081339
High-Risk,HR_1170,loss,149,392.0738255033557,0.004948101990843627
High-Risk,HR_1170,win,45,387.8,-0.016383715480793922
High-Risk,HR_1171,loss,315,631.6507936507936,0.002350916805545109
High-Risk,HR_1171,win,94,629.7021276595744,-0.007878072273901929
High-Risk,HR_1172,loss,143,691.4895104895105,0.0064874555799357475
High-Risk,HR_1172,win,27,675.7777777777778,-0.03435948696040053
High-Risk,HR_1173,loss,1694,398.37426210153484,0.009610405994876616
High-Risk,HR_1173,win,532,393.79887218045116,-0.030601555931054604
High-Risk,HR_1174,loss,3160,422.0392405063291,-0.08868937489854231
High-Risk,HR_1174,win,919,548.348204570185,0.3049602009569032
High-Risk,HR_1175,loss,276,332.2644927536232,-0.12699655769913645
High-Risk,HR_1175,win,92,500.0108695652174,0.3809896730974092
High-Risk,HR_1176,loss,1135,575.548898678414,-0.043537278033875325
High-Risk,HR_1176,win,322,626.5248447204968,0.15346214462251093
High-Risk,HR_1177,loss,46,398.39130434782606,-0.04431386745139593
High-Risk,HR_1177,win,16,425.5,0.12740236892276358
High-Risk,HR_1178,loss,5649,478.4607895202691,-0.03450001930748261
High-Risk,HR_1178,win,1917,510.3521126760563,0.10166437614395936
High-Risk,HR_1179,loss,2062,577.913676042677,-0.08666605882401009
High-Risk,HR_1179,win,619,716.4297253634895,0.28870018302925443
High-Risk,HR_118,loss,152,363.2171052631579,-0.10786417814538517
High-Risk,HR_118,win,35,539.7142857142857,0.4684387165171013
High-Risk,HR_1180,loss,58,579.7758620689655,-0.11010729313389395
High-Risk,HR_1180,win,12,613.5833333333334,0.5321852501471559
High-Risk,HR_1181,loss,96,445.7291666666667,0.007740168621603691
High-Risk,HR_1181,win,27,438.7037037037037,-0.027520599543479855
High-Risk,HR_1182,loss,594,352.16161616161617,-0.152069253292882
High-Risk,HR_1182,win,202,465.41089108910893,0.4471739428513466
High-Risk,HR_1183,loss,70,589.5428571428571,-0.10517882479711842
High-Risk,HR_1183,win,16,629.125,0.4601573584873915
High-Risk,HR_1184,loss,67,317.04477611940297,-0.1309570841456776
High-Risk,HR_1184,win,17,437.7647058823529,0.5161249786917881
High-Risk,HR_1185,loss,9585,374.7133020344288,-0.038435625664127185
High-Risk,HR_1185,win,3234,412.0021645021645,0.11391634879117438
High-Risk,HR_1186,loss,1519,417.50164581961815,-0.0164063798282141
High-Risk,HR_1186,win,487,426.7926078028747,0.05117308205145274
High-Risk,HR_1187,loss,107,476.32710280373834,-0.08642062597330218
