group,id_player,prev_outcome,n_round,n_round_change,stake_change_prop,stake_change_size_overall,stake_change_level_overall,stake_change_size,stake_change_level
High-Risk,HR_1182,loss,594,13,2.1885521885521886,-0.0281986531986532,-0.02861952861952862,-1.2884615384615385,-1.3076923076923077
High-Risk,HR_1182,win,202,0,0,0,0,NA,NA
High-Risk,HR_1183,loss,70,1,1.4285714285714286,-0.007142857142857143,-0.014285714285714285,-0.5,-1
High-Risk,HR_1183,win,16,0,0,0,0,NA,NA
High-Risk,HR_1184,loss,67,0,0,0,0,NA,NA
High-Risk,HR_1184,win,17,0,0,0,0,NA,NA
High-Risk,HR_1185,loss,9625,42,0.4363636363636364,-1.0389610389610387e-4,-6.233766233766234e-4,-0.023809523809523808,-0.14285714285714285
High-Risk,HR_1185,win,3239,17,0.5248533497993207,0.002392713800555727,0.005557270762581044,0.45588235294117646,1.0588235294117647
High-Risk,HR_1186,loss,1521,55,3.616042077580539,0.0029585798816568047,-0.007232084155161078,0.08181818181818182,-0.2
High-Risk,HR_1186,win,487,2,0.41067761806981523,0.003080082135523614,0.006160164271047228,0.75,1.5
High-Risk,HR_1187,loss,107,0,0,0,0,NA,NA
High-Risk,HR_1187,win,23,0,0,0,0,NA,NA
High-Risk,HR_1188,loss,922,6,0.6507592190889371,0.0021691973969631237,0.004338394793926247,0.3333333333333333,0.6666666666666666
High-Risk,HR_1188,win,288,0,0,0,0,NA,NA
High-Risk,HR_1189,loss,40,2,5,0.1,0.1,2,2
High-Risk,HR_1189,win,18,0,0,0,0,NA,NA
High-Risk,HR_119,loss,182,0,0,0,0,NA,NA
High-Risk,HR_119,win,76,1,1.3157894736842104,-0.03289473684210526,-0.013157894736842105,-2.5,-1
High-Risk,HR_1190,loss,38,0,0,0,0,NA,NA
High-Risk,HR_1190,win,9,0,0,0,0,NA,NA
High-Risk,HR_1191,loss,4646,431,9.276797244941886,0.10057038312526904,0.03164012053379251,1.084106728538283,0.34106728538283065
High-Risk,HR_1191,win,1388,44,3.170028818443804,0.06069884726224784,0.03386167146974063,1.9147727272727273,1.0681818181818181
High-Risk,HR_1192,loss,11022,886,8.038468517510433,-0.008006713845037199,-0.021230266739248774,-0.09960496613995486,-0.26410835214446954
High-Risk,HR_1192,win,3193,39,1.2214218603194489,0.007046664578766051,0.014719699342311305,0.5769230769230769,1.205128205128205
High-Risk,HR_1193,loss,680,16,2.3529411764705883,3.676470588235294e-4,0,0.015625,0
High-Risk,HR_1193,win,229,0,0,0,0,NA,NA
High-Risk,HR_1194,loss,7,0,0,0,0,NA,NA
High-Risk,HR_1195,loss,7366,14,0.19006244909041542,1.0181916915557969e-4,4.0727667662231876e-4,0.05357142857142857,0.21428571428571427
High-Risk,HR_1195,win,2257,1,0.044306601683650866,1.1076650420912716e-4,4.4306601683650863e-4,0.25,1
High-Risk,HR_1196,loss,573,1,0.17452006980802792,-0.005235602094240838,-0.0034904013961605585,-3,-2
High-Risk,HR_1196,win,181,0,0,0,0,NA,NA
High-Risk,HR_1197,loss,66,0,0,0,0,NA,NA
High-Risk,HR_1197,win,15,0,0,0,0,NA,NA
High-Risk,HR_1198,loss,429,3,0.6993006993006993,-0.030303030303030304,-0.009324009324009324,-4.333333333333333,-1.3333333333333333
High-Risk,HR_1198,win,138,2,1.4492753623188406,0.021739130434782608,0.014492753623188406,1.5,1
High-Risk,HR_1199,loss,209,2,0.9569377990430622,-0.004784688995215311,-0.009569377990430622,-0.5,-1
High-Risk,HR_1199,win,53,0,0,0,0,NA,NA
High-Risk,HR_12,loss,261,1,0.38314176245210724,0.0019157088122605363,0.0038314176245210726,0.5,1
High-Risk,HR_12,win,91,0,0,0,0,NA,NA
High-Risk,HR_120,loss,4095,153,3.7362637362637363,-0.0014041514041514042,-0.0019536019536019536,-0.03758169934640523,-0.05228758169934641
High-Risk,HR_120,win,933,5,0.5359056806002144,0.0026795284030010718,0.007502679528403001,0.5,1.4
High-Risk,HR_1200,loss,67,3,4.477611940298507,-0.0708955223880597,-0.08955223880597014,-1.5833333333333333,-2
High-Risk,HR_1200,win,19,0,0,0,0,NA,NA
High-Risk,HR_1201,loss,337,2,0.5934718100890208,0.004451038575667656,-0.002967359050445104,0.75,-0.5
High-Risk,HR_1201,win,74,0,0,0,0,NA,NA
High-Risk,HR_1202,loss,224,2,0.8928571428571428,0,0,0,0
High-Risk,HR_1202,win,74,0,0,0,0,NA,NA
High-Risk,HR_1203,loss,61,0,0,0,0,NA,NA
High-Risk,HR_1203,win,22,0,0,0,0,NA,NA
