group,id_player,round_pos,total_count,win_count,win_prob
High-Risk,HR_143,end,32,1,3.125
High-Risk,HR_1430,overall,166,28,16.867469879518072
High-Risk,HR_1430,end,4,0,0
High-Risk,HR_1431,overall,3323,749,22.539873608185374
High-Risk,HR_1431,end,149,2,1.342281879194631
High-Risk,HR_1432,overall,754,154,20.424403183023873
High-Risk,HR_1432,end,17,0,0
High-Risk,HR_1433,overall,15,3,20
High-Risk,HR_1433,end,1,1,100
High-Risk,HR_1434,overall,36976,9238,24.983773258329727
High-Risk,HR_1434,end,523,1,0.19120458891013384
High-Risk,HR_1435,overall,3639,706,19.400934322616102
High-Risk,HR_1435,end,38,1,2.631578947368421
High-Risk,HR_1436,overall,32553,6055,18.60043621171628
High-Risk,HR_1436,end,440,30,6.8181818181818175
High-Risk,HR_1437,overall,40328,9693,24.03540964094426
High-Risk,HR_1437,end,461,9,1.9522776572668112
High-Risk,HR_1438,overall,194,62,31.958762886597935
High-Risk,HR_1438,end,2,0,0
High-Risk,HR_1439,overall,15399,3907,25.371777388142085
High-Risk,HR_1439,end,206,5,2.4271844660194173
High-Risk,HR_144,overall,29,4,13.793103448275861
High-Risk,HR_144,end,1,0,0
High-Risk,HR_1440,overall,2030,446,21.970443349753694
High-Risk,HR_1440,end,23,0,0
High-Risk,HR_1441,overall,223,52,23.318385650224215
High-Risk,HR_1441,end,3,0,0
High-Risk,HR_1442,overall,195,45,23.076923076923077
High-Risk,HR_1442,end,5,0,0
High-Risk,HR_1443,overall,15538,3789,24.38537778349852
High-Risk,HR_1443,end,185,3,1.6216216216216217
High-Risk,HR_1444,overall,24749,6213,25.104044607862946
High-Risk,HR_1444,end,110,1,0.9090909090909091
High-Risk,HR_1445,overall,5971,1396,23.379668397253393
High-Risk,HR_1445,end,35,2,5.714285714285714
High-Risk,HR_1446,overall,1332,290,21.77177177177177
High-Risk,HR_1446,end,11,0,0
High-Risk,HR_1447,overall,4187,1081,25.818008120372582
High-Risk,HR_1447,end,41,0,0
High-Risk,HR_1448,overall,338,73,21.597633136094675
High-Risk,HR_1448,end,5,0,0
High-Risk,HR_1449,overall,142,27,19.014084507042252
High-Risk,HR_1449,end,1,0,0
High-Risk,HR_145,overall,8424,2015,23.919753086419753
High-Risk,HR_145,end,91,0,0
High-Risk,HR_1450,overall,27,6,22.22222222222222
High-Risk,HR_1450,end,1,0,0
High-Risk,HR_1451,overall,2272,605,26.628521126760564
High-Risk,HR_1451,end,19,3,15.789473684210526
High-Risk,HR_1452,overall,265,53,20
High-Risk,HR_1452,end,7,0,0
High-Risk,HR_1453,overall,372,99,26.61290322580645
High-Risk,HR_1453,end,7,0,0
High-Risk,HR_1454,overall,1196,295,24.665551839464882
High-Risk,HR_1454,end,6,0,0
High-Risk,HR_1455,overall,12182,2895,23.764570678049584
High-Risk,HR_1455,end,100,4,4
High-Risk,HR_1456,overall,1077,233,21.634168987929435
High-Risk,HR_1456,end,27,0,0
High-Risk,HR_1457,overall,44268,10717,24.20936116382037
High-Risk,HR_1457,end,552,0,0
High-Risk,HR_1458,overall,22,9,40.909090909090914
High-Risk,HR_1458,end,1,0,0
High-Risk,HR_1459,overall,71,14,19.718309859154928
High-Risk,HR_1459,end,3,0,0
High-Risk,HR_146,overall,35,9,25.71428571428571
High-Risk,HR_146,end,1,0,0
High-Risk,HR_1460,overall,18945,4599,24.275534441805224
High-Risk,HR_1460,end,152,2,1.3157894736842104
High-Risk,HR_1461,overall,2218,499,22.49774571686204
High-Risk,HR_1461,end,31,2,6.451612903225806
High-Risk,HR_1462,overall,3056,698,22.840314136125656
High-Risk,HR_1462,end,50,0,0
High-Risk,HR_1463,overall,819,187,22.832722832722833
High-Risk,HR_1463,end,22,0,0
High-Risk,HR_1464,overall,1484,293,19.743935309973047
High-Risk,HR_1464,end,21,0,0
High-Risk,HR_1465,overall,101,24,23.762376237623762
High-Risk,HR_1465,end,2,0,0
High-Risk,HR_1466,overall,58,10,17.24137931034483
High-Risk,HR_1466,end,1,0,0
High-Risk,HR_1467,overall,10360,2674,25.810810810810807
High-Risk,HR_1467,end,320,8,2.5
High-Risk,HR_1468,overall,5176,1214,23.454404945904173
High-Risk,HR_1468,end,53,2,3.7735849056603774
High-Risk,HR_1469,overall,1397,279,19.971367215461704
High-Risk,HR_1469,end,21,0,0
High-Risk,HR_147,overall,6971,1484,21.28819394634916
High-Risk,HR_147,end,84,1,1.1904761904761905
