group,id_player,age,gender,income,risk_0,risk_3,risk_4,risk_5,n_session,n_round_total,n_round_mean,n_round_median,bet_max,bet_min,bet_mean,bet_median,win_prob,win_max,win_min,win_mean,win_median,loss_max,loss_min,loss_mean,loss_median,total_spent
High-Risk,HR_1422,35,Female,20016.81296619031,0,1,1,0,34,2467,72.55882352941177,47.5,2,0.25,0.9420348601540333,1,20.794487231455207,118,0.25,3.1057504873294346,1,2,0.25,0.938971340839304,1,241.5
High-Risk,HR_1423,53,Male,18789.373813575272,0,1,0,0,2,108,54,54,15,1.5,9.125,15,12.962962962962962,285,1.5,47.464285714285715,30,15,1.5,8.537234042553191,15,138
High-Risk,HR_1424,28,Male,18715.1453917335,0,0,1,0,5,136,27.2,10,0.5,0.25,0.2610294117647059,0.25,19.11764705882353,1.75,0.25,0.5,0.25,0.5,0.25,0.26136363636363635,0.25,15.75
High-Risk,HR_1425,45,Male,16105.751631389929,0,1,0,0,47,6631,141.08510638297872,93,20,0.5,12.584602624038606,10,24.415623586186094,1580,0.5,33.86473131562693,20,20,0.5,12.566640063846767,10,8157
High-Risk,HR_1426,73,Female,19509.345865633077,0,0,1,0,86,1853,21.546511627906977,15,20,0.25,5.4007015650296815,5,23.097679438747974,495,0.25,12.511098130841122,5,20,0.25,5.4321052631578945,5,2386
High-Risk,HR_1427,25,Female,14872.74077677282,0,1,0,0,37,1114,30.10810810810811,18,20,0.25,5.244389587073608,3.75,21.095152603231597,295,0.25,11.537234042553191,5,20,0.25,5.206769055745165,2.5,1865.5
High-Risk,HR_1428,29,Male,11727.0803147506,0,1,1,0,179,7571,42.29608938547486,26,15,0.25,3.9343217540615507,5,23.471139875842027,990,0.25,13.420512099043332,5,15,0.25,3.97126337590611,5,-838.75
High-Risk,HR_1429,31,Male,18075.36873935264,0,1,1,0,4,414,103.5,72.5,2.5,1,1.566425120772947,2,23.91304347826087,158,1,5.237373737373737,2,2.5,1,1.5587301587301587,2,-27.5
High-Risk,HR_143,52,Male,19053.786049985065,0,1,0,0,32,5994,187.3125,166,2.5,0.25,0.7269352686019352,0.5,22.85618952285619,247.5,0.25,2.6177007299270074,1,2.5,0.25,0.7287521626297578,0.5,-216.5
High-Risk,HR_1430,42,Female,20796.453128650093,0,0,0,1,4,166,41.5,24.5,2.5,0.25,1.661144578313253,2,16.867469879518072,8,0.5,3.107142857142857,3.25,2.5,0.25,1.6431159420289856,2,139.75
High-Risk,HR_1431,50,Male,19509.345865633077,0,0,0,1,149,3323,22.302013422818792,16,20,0.25,2.741498645801986,2.5,22.539873608185374,495,0.25,6.844125500667556,3,20,0.25,2.7501942501942502,2.5,1952.75
High-Risk,HR_1432,33,Male,16081.0476064887,0,1,0,0,17,754,44.35294117647059,35,2.5,0.25,0.9661803713527851,1,20.424403183023873,42,0.25,2.073051948051948,1,2.5,0.25,0.9820833333333333,1,270
High-Risk,HR_1433,34,Male,21869.273349555227,0,0,0,1,1,15,15,15,5,5,5,5,20,10,5,6.666666666666667,5,5,5,5,5,40
High-Risk,HR_1434,52,Female,17313.317537452913,0,1,0,0,523,36976,70.69980879541109,47,20,0.25,2.146432821289485,1,24.983773258329727,1180,0.25,6.030742584975103,2,20,0.25,2.1461803302328937,1,3818.75
High-Risk,HR_1435,28,Male,14872.74077677282,0,1,0,0,38,3639,95.76315789473684,51.5,20,0.25,0.8786067600989282,0.5,19.400934322616102,148.5,0.25,2.7177762039660056,1,20,0.25,0.9059836345039209,0.5,738.5
High-Risk,HR_1436,49,Male,NA,0,0,1,0,440,32553,73.98409090909091,45.5,20,0.25,0.6012502687924308,0.5,18.60043621171628,99,0.25,2.1850536746490503,0.75,20,0.25,0.5994886406521247,0.5,2654.75
High-Risk,HR_1437,46,Male,15250.754301124418,0,1,1,0,461,40328,87.47939262472885,52,20,0.25,1.3403280599087484,1,24.03540964094426,495,0.25,4.377721035799031,2,20,0.25,1.3422311082095641,1,-1314
High-Risk,HR_1438,37,Female,16703.215292891873,0,1,0,0,2,194,97,97,0.25,0.25,0.25,0.25,31.958762886597935,4.75,0.25,0.532258064516129,0.5,0.25,0.25,0.25,0.25,0
High-Risk,HR_1439,42,Female,23738.54562694053,0,1,0,0,206,15399,74.75242718446601,64.5,5,0.25,1.7503734008701863,1.5,25.371777388142085,495,0.25,4.937164064499616,2,5,0.25,1.7533501566306997,1.5,860
High-Risk,HR_144,42,Male,13444.220983470092,0,0,1,0,1,29,29,29,0.25,0.25,0.25,0.25,13.793103448275861,0.5,0.25,0.3125,0.25,0.25,0.25,0.25,0.25,5
High-Risk,HR_1440,29,Male,18060.595558976787,0,1,1,0,23,2030,88.26086956521739,64,15,0.25,0.8254926108374384,0.5,21.970443349753694,118,0.25,2.5577354260089686,1,15,0.25,0.8347537878787878,0.5,181.5
High-Risk,HR_1441,39,Female,NA,0,1,0,0,3,223,74.33333333333333,65,5,0.25,1.704035874439462,1,23.318385650224215,49.5,0.5,5.639423076923077,2,5,0.25,1.8289473684210527,1,19.5
High-Risk,HR_1442,29,Male,13444.220983470092,0,1,0,0,5,195,39,33,20,5,19.153846153846153,20,23.076923076923077,140,5,36.77777777777778,40,20,5,19.2,20,1225
High-Risk,HR_1443,36,Female,NA,0,0,1,1,185,15538,83.98918918918919,60,10,0.25,3.4087720427339425,2.5,24.38537778349852,990,0.25,10.666600686196885,5,10,0.25,3.400161715890714,2.5,-467.25
High-Risk,HR_1444,42,Male,14244.754097974565,0,0,1,1,110,24749,224.9909090909091,105,20,0.5,15.854135520627096,20,25.104044607862946,1980,0.5,44.29365845807178,20,20,0.5,15.888352395338801,20,19310
High-Risk,HR_1445,38,Female,17938.80012898025,0,1,0,0,35,5971,170.6,128,2.5,0.25,0.6531150561045052,0.5,23.379668397253393,198,0.25,2.1344914040114613,1,2.5,0.25,0.656448087431694,0.5,23.5
High-Risk,HR_1446,41,Male,14649.141709140966,0,0,1,0,11,1332,121.0909090909091,70,5,0.25,1.8049924924924925,1.5,21.77177177177177,118,0.25,4.031034482758621,2,5,0.25,1.7960652591170825,1,702.5
High-Risk,HR_1447,34,Male,13444.220983470092,0,1,0,0,41,4187,102.1219512195122,73,2.5,0.25,0.7720921901122522,0.5,25.818008120372582,99,0.25,2.587650323774283,1,2.5,0.25,0.7723760463618803,0.5,-398.25
High-Risk,HR_1448,34,Female,14872.74077677282,0,1,0,0,5,338,67.6,47,2,0.5,1.113905325443787,1,21.597633136094675,99,0.5,3.8493150684931505,1.5,2,0.5,1.109433962264151,1,13
High-Risk,HR_1449,50,Male,19230.604874392637,0,0,1,0,1,142,142,142,0.25,0.25,0.25,0.25,19.014084507042252,1.75,0.25,0.4351851851851852,0.25,0.25,0.25,0.25,0.25,17
High-Risk,HR_145,35,Female,15531.748726946304,0,0,0,1,91,8424,92.57142857142857,51,20,0.25,6.109478869895536,5,23.919753086419753,1980,0.25,16.196774193548386,7.5,20,0.25,6.1181541582150105,5,6574.75
High-Risk,HR_1450,28,Male,16703.215292891873,0,1,0,0,1,27,27,27,2.5,2.5,2.5,2.5,22.22222222222222,10,2.5,5,3.75,2.5,2.5,2.5,2.5,22.5
High-Risk,HR_1451,37,Female,18715.1453917335,0,1,0,0,19,2272,119.57894736842105,105,10,0.25,1.5419234154929577,1,26.628521126760564,590,0.25,5.088016528925619,1,10,0.25,1.5235452909418117,1,-538.5
High-Risk,HR_1452,53,Male,19624.57664661654,0,1,0,0,7,265,37.857142857142854,27,2,0.5,0.6226415094339622,0.5,20,4,0.5,1.009433962264151,1,2,0.5,0.6155660377358491,0.5,77
High-Risk,HR_1453,46,Male,20234.489204225352,0,1,0,0,7,372,53.142857142857146,55,1,0.25,0.3689516129032258,0.25,26.61290322580645,4.75,0.25,0.7095959595959596,0.5,1,0.25,0.358974358974359,0.25,27.75
High-Risk,HR_1454,36,Male,16121.516597765853,0,1,0,0,6,1196,199.33333333333334,208.5,10,0.5,4.1095317725752505,2,24.665551839464882,197.5,1,8.189830508474577,4,10,0.5,4.087680355160932,2,1267
High-Risk,HR_1455,31,Male,15590.872608280435,0,1,1,0,100,12182,121.82,77,10,0.25,1.141417665407979,1,23.764570678049584,198,0.25,3.2399827288428327,1,10,0.25,1.1441800366103154,1,1246.25
High-Risk,HR_1456,29,Male,NA,0,1,0,0,27,1077,39.888888888888886,35,10,0.25,1.5041782729805013,1,21.634168987929435,395,0.25,4.817596566523605,1,10,0.25,1.4914099526066351,0.5,136.25
High-Risk,HR_1457,40,Male,18715.1453917335,0,0,0,1,552,44268,80.19565217391305,45.5,20,1,10.965245775729647,10,24.20936116382037,1980,2,35.107306149108894,15,20,1,10.992086674018658,10,-7449.5
High-Risk,HR_1458,41,Male,16081.0476064887,0,1,0,0,1,22,22,22,0.25,0.25,0.25,0.25,40.909090909090914,0.5,0.25,0.3055555555555556,0.25,0.25,0.25,0.25,0.25,0.5
High-Risk,HR_1459,25,Male,21780.186121566432,0,1,0,0,3,71,23.666666666666668,20,1,0.25,0.778169014084507,1,19.718309859154928,5,0.5,1.75,1,1,0.25,0.7763157894736842,1,19.75
High-Risk,HR_146,37,Female,12800.837904471851,0,1,0,0,1,35,35,35,20,20,20,20,25.71428571428571,40,20,24.444444444444443,20,20,20,20,20,300
High-Risk,HR_1460,31,Female,21261.67825832085,0,1,1,0,152,18945,124.63815789473684,77,20,0.25,2.2742544206914754,0.5,24.275534441805224,1485,0.25,6.792944118286584,1,20,0.25,2.2630872717133697,0.5,1225.5
High-Risk,HR_1461,25,Male,16413.98423839056,0,1,1,0,31,2218,71.54838709677419,47,10,0.25,1.535054102795311,1,22.49774571686204,198,0.25,4.86372745490982,2,10,0.25,1.5349040139616057,1,211.5
High-Risk,HR_1462,32,Male,16394.77765776613,0,1,0,0,50,3056,61.12,34,5,0.25,0.696580497382199,0.25,22.840314136125656,59,0.25,2.0175501432664755,1,5,0.25,0.6962468193384224,0.25,233.5
High-Risk,HR_1463,42,Female,16413.98423839056,0,0,1,0,22,819,37.22727272727273,16,10,1,4.771672771672772,5,22.832722832722833,495,2,12.550802139037433,5,10,1,4.7674050632911396,5,666
High-Risk,HR_1464,36,Male,18789.373813575272,0,0,1,0,21,1484,70.66666666666667,54,2.5,0.25,1.7740902964959568,1.5,19.743935309973047,202.5,0.25,6.023037542662116,2.5,2.5,0.25,1.763853904282116,1.5,336
High-Risk,HR_1465,33,Male,18715.1453917335,0,1,0,0,2,101,50.5,50.5,2.5,0.25,1.608910891089109,2.5,23.762376237623762,7.5,0.25,2.4479166666666665,2.5,2.5,0.25,1.594155844155844,2.5,64
High-Risk,HR_1466,41,Male,11727.0803147506,0,1,0,0,1,58,58,58,1,1,1,1,17.24137931034483,7,1,1.9,1,1,1,1,1,29
High-Risk,HR_1467,51,Male,12113.173093151574,0,1,0,0,320,10360,32.375,22,2.5,0.25,0.5100144787644788,0.5,25.810810810810807,99,0.25,1.4538145100972326,0.5,2.5,0.25,0.5082617746552173,0.5,19
High-Risk,HR_1468,25,Female,16105.751631389929,0,1,0,0,53,5176,97.66037735849056,84,15,0.25,1.775888717156105,1,23.454404945904173,395,0.25,5.173805601317957,2,15,0.25,1.7913932357395255,1,816.5
High-Risk,HR_1469,45,Male,20031.61016822563,0,1,0,0,21,1397,66.52380952380952,45,5,1,2.70436649964209,2.5,19.971367215461704,247.5,2,6.43010752688172,2.5,5,1,2.7137745974955276,2.5,1240
High-Risk,HR_147,36,Female,14649.141709140966,0,1,0,0,84,6971,82.98809523809524,44,2,0.25,0.9066131114617701,1,21.28819394634916,99,0.25,3.4359838274932613,1,2,0.25,0.9074630945872061,1,-119.75
High-Risk,HR_1470,23,Female,17313.317537452913,0,1,0,0,6,97,16.166666666666668,16,5,0.25,0.5876288659793815,0.25,21.649484536082475,10,0.25,1.1071428571428572,0.25,5,0.25,0.5822368421052632,0.25,21
High-Risk,HR_1471,40,Male,17044.90037963242,0,0,0,1,211,23485,111.30331753554502,73,20,0.25,5.32497338726847,5,23.904619970193743,1980,0.25,17.457739579622373,5,20,0.25,5.341307145654972,5,-2553.25
High-Risk,HR_1472,49,Female,11727.0803147506,0,0,0,1,3,182,60.666666666666664,28,2,1,1.1043956043956045,1,13.736263736263737,6,1,1.88,1,2,1,1.1146496815286624,1,128
High-Risk,HR_1473,36,Female,20359.820992419023,0,1,0,0,6,459,76.5,75,1,1,1,1,22.875816993464053,99,1,5.552380952380952,2,1,1,1,1,-229
High-Risk,HR_1474,51,Male,21095.095473203222,0,1,0,0,32,3172,99.125,59,10,0.25,3.1066361916771754,2,20.870113493064313,495,0.25,9.650679758308158,4,10,0.25,3.124003984063745,2,1452.5
High-Risk,HR_1475,34,Female,19600.49491660752,0,1,0,0,19,903,47.526315789473685,40,0.5,0.25,0.2987264673311185,0.25,17.829457364341085,29.5,0.25,0.8027950310559007,0.5,0.5,0.25,0.29851752021563344,0.25,92.25
High-Risk,HR_1476,41,Male,19561.73062530096,0,1,0,0,67,3618,54,31,20,1,14.57172470978441,10,22.58153676064124,1980,5,53.20685434516524,20,20,1,14.542306319171724,10,-2737
High-Risk,HR_1477,36,Female,13719.001528846155,0,1,0,0,40,5994,149.85,141.5,20,2.5,10.542625959292627,10,24.274274274274273,1980,2.5,52.455326460481096,15,20,2.5,10.509473452302268,10,-28620
High-Risk,HR_1478,49,Male,19010.588587512793,0,1,0,0,7,224,32,29,1,1,1,1,22.321428571428573,59,1,2.94,2,1,1,1,1,27
High-Risk,HR_1479,36,Male,19892.256727169224,0,1,0,1,19,1486,78.21052631578948,75,10,1.5,3.2351951547779274,2.5,22.072678331090177,395,1.5,7.489329268292683,5,10,1.5,3.211139896373057,2.5,1262
High-Risk,HR_148,27,Female,19165.340697521096,0,1,0,0,67,2107,31.44776119402985,16,2.5,0.5,0.9475557664926436,1,23.920265780730897,198,0.5,2.998015873015873,1,2.5,0.5,0.9363693075483468,1,-10
High-Risk,HR_1480,35,Male,14649.141709140966,0,1,0,0,1,80,80,80,2.5,0.25,1.515625,1.5,30,7.5,0.25,2.46875,2.25,2.5,0.25,1.4910714285714286,1.5,24.25
High-Risk,HR_1481,28,Male,22638.02419981251,0,0,1,0,1,63,63,63,20,10,17.46031746031746,20,19.047619047619047,80,10,40.833333333333336,40,20,10,17.058823529411764,20,380
High-Risk,HR_1482,29,Male,19682.892695025235,0,1,0,0,47,2081,44.276595744680854,37,1,0.25,0.289404132628544,0.25,21.62421912542047,24.75,0.25,0.915,0.5,1,0.25,0.2933782955242183,0.25,66.75
High-Risk,HR_1483,34,Female,20344.584621292117,0,1,0,0,2,119,59.5,59.5,1,1,1,1,30.252100840336134,8,1,2.0833333333333335,2,1,1,1,1,8
High-Risk,HR_1484,26,Male,12133.001909630855,0,1,0,0,69,5537,80.2463768115942,49,5,0.5,1.0133646378905545,1,21.491782553729458,198,0.5,2.861764705882353,1,5,0.5,1.008396595353117,1,978
High-Risk,HR_1485,39,Male,16166.09703144839,0,1,0,0,6,123,20.5,12.5,2,0.25,0.49796747967479676,0.5,20.32520325203252,4.75,0.25,1.07,0.75,2,0.25,0.4923469387755102,0.375,21.5
High-Risk,HR_1486,40,Male,NA,0,1,0,0,14,1330,95,81,5,0.25,0.5721804511278196,0.25,21.804511278195488,24.75,0.25,1.5456896551724137,0.5,5,0.25,0.565625,0.25,140
High-Risk,HR_1487,46,Female,15676.546362416108,0,0,1,0,1,28,28,28,1,1,1,1,10.714285714285714,5,1,2.3333333333333335,1,1,1,1,1,18
High-Risk,HR_1488,56,Male,16081.0476064887,0,0,1,0,2,29,14.5,14.5,2.5,1,2.0344827586206895,2.5,24.137931034482758,5,1,2.857142857142857,2.5,2.5,1,2.090909090909091,2.5,26
High-Risk,HR_1489,33,Male,15593.929115282906,0,1,0,0,1,175,175,175,0.5,0.5,0.5,0.5,24.571428571428573,19.5,0.5,1.302325581395349,1,0.5,0.5,0.5,0.5,10
High-Risk,HR_149,44,Male,15241.155792148917,0,0,1,0,40,3838,95.95,20.5,5,0.5,2.3217821782178216,2,22.042730588848357,495,1,7.264775413711584,4,5,0.5,2.3191844919786098,2,793
High-Risk,HR_1490,35,Male,20838.858809298414,0,1,0,0,6,926,154.33333333333334,110,20,2.5,9.905507559395248,10,19.762419006479483,590,2.5,20.778688524590162,10,20,2.5,9.929340511440108,10,3575
High-Risk,HR_1491,52,Male,NA,0,1,0,0,3,993,331,78,1,0.25,0.25075528700906347,0.25,16.51560926485398,14.75,0.25,0.7560975609756098,0.5,1,0.25,0.25090470446320867,0.25,84
High-Risk,HR_1492,41,Male,NA,0,1,0,0,26,2545,97.88461538461539,57.5,10,0.25,3.758055009823183,2.5,24.990176817288802,990,0.5,10.687106918238994,5,10,0.25,3.7362493452069145,2.5,335.5
High-Risk,HR_1493,52,Male,13444.220983470092,0,1,0,0,1,14,14,14,1,1,1,1,7.142857142857142,1,1,1,1,1,1,1,1,12
High-Risk,HR_1494,60,Female,14872.74077677282,0,1,0,0,82,523,6.378048780487805,4,1,0.25,0.7939770554493308,1,16.634799235181642,59,0.25,2.0804597701149423,1,1,0.25,0.7935779816513762,1,165
High-Risk,HR_1495,30,Male,14489.764147354721,0,1,0,0,53,3819,72.05660377358491,58,10,0.25,0.8195862791306625,0.25,21.393034825870647,295,0.25,2.2457160342717257,0.5,10,0.25,0.8111259160559627,0.25,600.25
High-Risk,HR_1496,54,Female,13897.327129442398,0,1,0,0,8,224,28,25,5,0.25,2.072544642857143,1.25,17.410714285714285,58.5,0.25,6.108974358974359,3,5,0.25,2.004054054054054,1,132.5
High-Risk,HR_1497,46,Female,20249.735159201296,0,1,1,0,25,857,34.28,30,2,0.5,0.7462077012835473,0.5,24.037339556592766,29.5,0.5,1.6092233009708738,1,2,0.5,0.7572964669738863,0.5,161.5
High-Risk,HR_1498,32,Female,21538.730827699863,0,1,0,0,8,621,77.625,41,1,0.25,0.43719806763285024,0.5,23.993558776167472,14.75,0.25,1.0486577181208054,0.5,1,0.25,0.4375,0.5,50.25
High-Risk,HR_1499,29,Male,14058.268518749028,0,0,1,0,1,10,10,10,0.5,0.5,0.5,0.5,10,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,4
High-Risk,HR_15,39,Male,22478.828979652902,0,1,0,0,5,704,140.8,13,1,0.25,0.37464488636363635,0.25,19.886363636363637,24.75,0.25,1.332142857142857,0.5,1,0.25,0.37677304964539005,0.5,26
High-Risk,HR_150,47,Female,NA,0,1,1,0,253,17721,70.04347826086956,50,20,0.25,12.868559900682806,15,25.613678686304386,1980,0.25,45.16815377836528,20,20,0.25,12.925087240175998,15,-34639.75
High-Risk,HR_1500,48,Male,14489.764147354721,0,1,0,0,329,47310,143.79939209726444,109,20,0.25,1.2713009934474742,0.5,22.967660114140774,495,0.25,3.5141956561752257,1,20,0.25,1.2756420810009879,0.5,8304.25
High-Risk,HR_1501,40,Male,NA,0,1,0,0,3,148,49.333333333333336,43,1,0.25,0.5844594594594594,0.25,20.27027027027027,3,0.25,1.0083333333333333,0.625,1,0.25,0.586864406779661,0.25,39
High-Risk,HR_1502,25,Female,16482.190958881027,0,1,1,1,122,17773,145.68032786885246,97.5,2.5,0.25,0.7689613458617003,0.5,22.905530861419006,197.5,0.25,2.1619380987472367,1,2.5,0.25,0.7645051817252956,0.5,1674
High-Risk,HR_1503,26,Male,NA,0,1,0,0,132,4530,34.31818181818182,25,1.5,0.25,0.4342163355408388,0.5,20.684326710816777,49.5,0.25,1.2185165421558164,0.5,1.5,0.25,0.436752017812413,0.5,427.5
High-Risk,HR_1504,32,Male,15590.872608280435,0,1,0,0,147,7817,53.17687074829932,33,10,0.25,2.556927209927082,1.5,25.26544710246898,495,0.25,7.230379746835443,3,10,0.25,2.5583276275248203,1.5,665.75
High-Risk,HR_1505,62,Male,16227.518048693373,0,0,1,0,30,2496,83.2,16.5,2.5,0.5,0.9585336538461539,1,20.713141025641026,99,0.5,2.816247582205029,1,2.5,0.5,0.9588175846387064,1,441.5
High-Risk,HR_1506,40,Male,17504.592139136683,0,0,1,0,9,1353,150.33333333333334,82,2,0.25,0.9900221729490022,1,24.390243902439025,158,0.25,2.596969696969697,1,2,0.25,1.0019550342130987,1,168
High-Risk,HR_1507,47,Male,20106.906415929203,0,1,0,0,15,738,49.2,27,20,0.25,5.028794037940379,5,24.390243902439025,190,0.5,10.33611111111111,5,20,0.25,5.089605734767025,5,979.5
High-Risk,HR_1508,61,Male,19870.84636174636,0,1,0,0,4,254,63.5,13.5,20,5,17.381889763779526,20,24.015748031496063,100,5,31.885245901639344,40,20,5,16.99481865284974,20,1335
High-Risk,HR_1509,51,Female,16885.081620581528,0,1,0,0,80,5184,64.8,49,2.5,0.25,0.48148148148148145,0.5,22.472993827160494,49.5,0.25,1.2412017167381975,0.5,2.5,0.25,0.48575516297586463,0.5,506.25
High-Risk,HR_151,35,Male,NA,0,1,0,0,42,7344,174.85714285714286,140.5,10,0.25,1.1586328976034859,1,22.30392156862745,247.5,0.25,3.606990231990232,1.5,10,0.25,1.1630301437083772,1,728
High-Risk,HR_1510,50,Male,19239.52727567668,0,1,0,0,1,15,15,15,2,2,2,2,20,4,2,2.6666666666666665,2,2,2,2,2,16
High-Risk,HR_1511,49,Male,17313.317537452913,0,1,1,0,131,10752,82.07633587786259,57,20,0.25,12.801734561011905,10,20.907738095238095,1980,2,40.67170818505338,20,20,0.25,12.788129115710253,10,17320.25
High-Risk,HR_1512,32,Female,16872.568127392016,0,1,0,0,10,337,33.7,35,1,0.25,0.4317507418397626,0.25,22.255192878338278,4.75,0.25,0.6866666666666666,0.5,1,0.25,0.4437022900763359,0.25,64.75
High-Risk,HR_1513,43,Female,19105.52359289776,0,1,1,0,622,63586,102.2282958199357,72,10,0.25,0.8523849589532287,1,24.160978831818326,198,0.25,2.625203410792163,1,10,0.25,0.8529176948758891,1,799.25
High-Risk,HR_1514,38,Male,14872.74077677282,0,1,0,0,1,79,79,79,0.25,0.25,0.25,0.25,16.455696202531644,1,0.25,0.5,0.5,0.25,0.25,0.25,0.25,10
High-Risk,HR_1515,53,Male,16228.34145935602,0,1,0,0,1,58,58,58,1,1,1,1,13.793103448275861,2,1,1.125,1,1,1,1,1,41
High-Risk,HR_1516,50,Male,NA,0,1,0,0,4,511,127.75,108.5,0.5,0.25,0.39481409001956946,0.5,20.54794520547945,19.75,0.25,1.0142857142857142,0.5,0.5,0.25,0.39408866995073893,0.5,53.5
High-Risk,HR_1517,41,Male,16166.09703144839,0,0,0,1,63,3714,58.95238095238095,49,5,0.25,1.5518982229402263,1,15.724286483575659,198,0.25,4.532962328767123,2,5,0.25,1.5555111821086263,1,2221.5
High-Risk,HR_1518,47,Male,17349.553664456762,0,1,0,0,10,1587,158.7,97.5,20,5,12.205419029615626,10,25.645872715816004,1980,5,40.49140049140049,20,20,5,12.15677966101695,10,-2135
High-Risk,HR_1519,47,Female,20294.634388009992,0,0,1,1,487,34074,69.96714579055441,46,20,0.25,1.7268004930445502,1,24.705053706638495,495,0.25,5.089896650035638,2,20,0.25,1.7269449641409416,1,1459.75
High-Risk,HR_152,38,Male,19155.033476022443,0,1,0,0,1,65,65,65,1,1,1,1,16.923076923076923,4,1,1.7272727272727273,1,1,1,1,1,35
High-Risk,HR_1520,53,Male,13444.220983470092,0,1,1,0,7,183,26.142857142857142,21,1,0.25,0.273224043715847,0.25,17.48633879781421,9.75,0.25,0.7890625,0.5,1,0.25,0.271523178807947,0.25,15.75
High-Risk,HR_1521,33,Male,13444.220983470092,0,1,0,0,7,902,128.85714285714286,40,1.5,0.25,0.6055986696230599,0.5,23.61419068736142,29.5,0.25,1.6654929577464788,1,1.5,0.25,0.6030478955007257,0.5,60.75
High-Risk,HR_1522,40,Female,19222.11045702788,0,1,0,0,5,576,115.2,86,2.5,1,2.0225694444444446,2.5,23.26388888888889,148.5,1,8.156716417910447,3,2.5,1,2.020361990950226,2.5,-200
High-Risk,HR_1523,43,Female,NA,0,1,0,0,4,69,17.25,2.5,2,0.5,1.5942028985507246,1.5,26.08695652173913,10,1.5,2.9166666666666665,2,2,0.5,1.5588235294117647,1.5,27
High-Risk,HR_1524,30,Female,18604.36804933253,0,0,1,0,127,5441,42.84251968503937,31,20,0.25,1.5052839551553023,1,24.370520124977027,885,0.25,4.842760180995475,2,20,0.25,1.4935601458080194,1,-275.5
High-Risk,HR_1525,61,Male,19877.16648399973,0,1,1,0,526,28425,54.039923954372625,18.5,20,0.25,1.9624450307827617,1,24.605101143359718,590,0.25,5.325957963969117,2,20,0.25,1.9739746162101628,1,5054.5
High-Risk,HR_1526,42,Male,14489.764147354721,0,1,0,0,1,50,50,50,2,2,2,2,14.000000000000002,38,2,8,4,2,2,2,2,30
High-Risk,HR_1527,56,Female,14129.449123690572,0,0,1,0,16,982,61.375,56,2.5,0.25,0.5580448065173116,0.5,24.84725050916497,9.75,0.25,0.985655737704918,0.5,2.5,0.25,0.5667344173441734,0.5,177.75
High-Risk,HR_1528,47,Female,15889.698075608601,0,1,0,0,96,10022,104.39583333333333,59,5,0.25,0.883830572739972,1,24.28656954699661,148.5,0.25,2.250616269515201,1,5,0.25,0.8908473906167633,1,1281.75
High-Risk,HR_1529,40,Male,17313.317537452913,0,1,0,0,2,562,281,281,2,2,2,2,24.377224199288257,198,2,5.489051094890511,4,2,2,2,2,98
High-Risk,HR_153,47,Male,14489.764147354721,0,0,1,0,59,13901,235.61016949152543,147,20,0.25,1.0749226674339976,0.5,21.638731026544853,495,0.25,3.5446309840425534,1,20,0.25,1.0775957036629027,0.5,1076
High-Risk,HR_1530,47,Male,16790.318332855913,0,1,1,0,84,6432,76.57142857142857,46.5,1,0.25,0.4624533582089552,0.5,21.56405472636816,49.5,0.25,1.3168709444844988,0.5,1,0.25,0.4602081268582755,0.5,495.25
High-Risk,HR_1531,23,Female,20801.50503373924,0,1,0,0,120,10747,89.55833333333334,64.5,2.5,0.25,0.4032753326509724,0.25,21.37340653205546,99,0.25,1.487919024814976,0.5,2.5,0.25,0.4052958579881657,0.25,7
High-Risk,HR_1532,30,Male,16747.797109250398,0,1,0,0,8,1385,173.125,92,10,1.5,5.428158844765343,5,23.826714801444044,395,5,14.045454545454545,10,10,1.5,5.434123222748815,5,1098
High-Risk,HR_1533,42,Female,19100.592365280558,0,1,0,0,39,3428,87.8974358974359,55,20,0.25,8.775306301050176,5,24.066511085180863,1180,0.25,26.19,10,20,0.25,8.514502497118709,5,556.5
High-Risk,HR_1534,43,Male,18604.36804933253,0,1,0,0,17,644,37.88235294117647,25,10,0.5,1.9945652173913044,1.5,22.51552795031056,198,0.5,13.210344827586207,2.5,10,0.5,2.05310621242485,1.5,-891
High-Risk,HR_1535,33,Male,17514.450067022608,0,1,0,0,1,200,200,200,5,1.5,1.8925,1.5,19.5,148.5,1.5,7.3076923076923075,3,5,1.5,1.8695652173913044,1.5,16
High-Risk,HR_1536,35,Female,19872.949362412106,0,1,0,0,2,111,55.5,55.5,1.5,1,1.027027027027027,1,16.216216216216218,7,1,2,1.5,1.5,1,1.032258064516129,1,60
High-Risk,HR_1537,28,Male,NA,0,1,0,0,3,217,72.33333333333333,71,1,0.25,0.5311059907834101,0.5,17.51152073732719,9.5,0.25,1.269736842105263,0.5,1,0.25,0.5391061452513967,0.5,48.25
High-Risk,HR_1538,38,Male,19833.97180442638,0,0,1,0,246,14338,58.28455284552845,32,10,0.25,1.1306667596596458,1,24.92676802901381,295,0.25,3.2376189143816454,2,10,0.25,1.1301560758082496,1,593.75
High-Risk,HR_1539,51,Female,17514.450067022608,0,1,0,0,1,24,24,24,0.5,0.5,0.5,0.5,12.5,1,0.5,0.6666666666666666,0.5,0.5,0.5,0.5,0.5,8.5
High-Risk,HR_154,24,Male,18715.1453917335,0,1,1,0,4,489,122.25,128,20,1,13.664621676891615,20,24.130879345603272,1580,1,49.49576271186441,20,20,1,13.76010781671159,20,-735.5
