group,id_player,round_pos,total_count,win_count,win_prob
High-Risk,407,overall,1984,480,24.193548387096776
High-Risk,407,end,35,2,5.714285714285714
High-Risk,408,overall,147,28,19.047619047619047
High-Risk,408,end,2,0,0
High-Risk,409,overall,242,68,28.09917355371901
High-Risk,409,end,3,1,33.33333333333333
High-Risk,410,overall,232,48,20.689655172413794
High-Risk,410,end,6,0,0
High-Risk,411,overall,265,61,23.0188679245283
High-Risk,411,end,9,0,0
High-Risk,412,overall,323,85,26.31578947368421
High-Risk,412,end,2,0,0
High-Risk,413,overall,4279,1065,24.888992755316664
High-Risk,413,end,104,0,0
High-Risk,414,overall,1039,218,20.981713185755535
High-Risk,414,end,17,0,0
High-Risk,415,overall,17935,3768,21.0091998884862
High-Risk,415,end,162,10,6.172839506172839
High-Risk,416,overall,2318,519,22.389991371872302
High-Risk,416,end,70,0,0
High-Risk,417,overall,2104,482,22.90874524714829
High-Risk,417,end,14,0,0
High-Risk,418,overall,50,14,28.000000000000004
High-Risk,418,end,2,0,0
High-Risk,419,overall,170,42,24.705882352941178
High-Risk,419,end,2,0,0
High-Risk,420,overall,204,53,25.98039215686275
High-Risk,420,end,2,0,0
High-Risk,421,overall,242,55,22.727272727272727
High-Risk,421,end,3,0,0
High-Risk,422,overall,496,93,18.75
High-Risk,422,end,3,1,33.33333333333333
High-Risk,423,overall,8199,1714,20.904988413221123
High-Risk,423,end,52,2,3.8461538461538463
High-Risk,424,overall,5985,1550,25.898078529657475
High-Risk,424,end,71,0,0
High-Risk,425,overall,2563,549,21.420210690596956
High-Risk,425,end,14,1,7.142857142857142
High-Risk,426,overall,67,10,14.925373134328357
High-Risk,426,end,2,0,0
High-Risk,427,overall,179,37,20.670391061452513
High-Risk,427,end,4,0,0
High-Risk,428,overall,276,62,22.463768115942027
High-Risk,428,end,1,0,0
High-Risk,429,overall,9783,2264,23.142185423694166
High-Risk,429,end,174,12,6.896551724137931
High-Risk,430,overall,5508,1353,24.564270152505447
High-Risk,430,end,13,0,0
High-Risk,431,overall,1756,413,23.519362186788154
High-Risk,431,end,25,0,0
High-Risk,432,overall,25,2,8
High-Risk,432,end,1,0,0
High-Risk,433,overall,23428,5304,22.639576575038415
High-Risk,433,end,198,1,0.5050505050505051
High-Risk,434,overall,845,192,22.72189349112426
High-Risk,434,end,11,4,36.36363636363637
High-Risk,435,overall,845,178,21.06508875739645
High-Risk,435,end,27,17,62.96296296296296
High-Risk,436,overall,124,34,27.419354838709676
High-Risk,436,end,4,0,0
High-Risk,437,overall,2929,730,24.92318197336975
High-Risk,437,end,46,2,4.3478260869565215
High-Risk,438,overall,95,14,14.736842105263156
High-Risk,438,end,4,0,0
High-Risk,439,overall,26921,5910,21.953122097990416
High-Risk,439,end,419,2,0.47732696897374705
High-Risk,440,overall,10210,2361,23.124387855044073
High-Risk,440,end,51,2,3.9215686274509802
High-Risk,441,overall,62,8,12.903225806451612
High-Risk,441,end,5,0,0
High-Risk,442,overall,24,6,25
High-Risk,442,end,2,0,0
High-Risk,443,overall,40,9,22.5
High-Risk,443,end,1,0,0
High-Risk,444,overall,47386,11801,24.9039800785042
High-Risk,444,end,1180,15,1.2711864406779663
High-Risk,445,overall,1181,250,21.168501270110077
High-Risk,445,end,3,0,0
High-Risk,446,overall,472,99,20.97457627118644
High-Risk,446,end,9,0,0
High-Risk,447,overall,1230,259,21.056910569105693
High-Risk,447,end,20,0,0
High-Risk,448,overall,19744,5126,25.962317666126417
High-Risk,448,end,176,4,2.272727272727273
High-Risk,449,overall,1197,266,22.22222222222222
High-Risk,449,end,45,1,2.2222222222222223
High-Risk,450,overall,574,120,20.905923344947734
High-Risk,450,end,17,0,0
High-Risk,451,overall,552,134,24.27536231884058
High-Risk,451,end,9,0,0
High-Risk,452,overall,1010,184,18.217821782178216
High-Risk,452,end,13,0,0
High-Risk,453,overall,4538,1064,23.446452181577786
High-Risk,453,end,47,0,0
High-Risk,454,overall,72576,18119,24.96555335097002
High-Risk,454,end,694,6,0.8645533141210375
High-Risk,455,overall,23401,5693,24.3280201700782
High-Risk,455,end,173,4,2.312138728323699
High-Risk,456,overall,1290,327,25.348837209302328
High-Risk,456,end,22,0,0
High-Risk,457,overall,1173,263,22.421142369991475
High-Risk,457,end,6,0,0
High-Risk,458,overall,490,90,18.367346938775512
High-Risk,458,end,6,0,0
High-Risk,459,overall,17,2,11.76470588235294
High-Risk,459,end,2,0,0
High-Risk,460,overall,56922,14696,25.81778574189241
High-Risk,460,end,149,2,1.342281879194631
High-Risk,461,overall,70951,16788,23.661400121210413
High-Risk,461,end,808,4,0.49504950495049505
High-Risk,462,overall,1183,265,22.40067624683009
High-Risk,462,end,14,0,0
High-Risk,463,overall,450,103,22.88888888888889
High-Risk,463,end,5,0,0
High-Risk,464,overall,21,3,14.285714285714285
High-Risk,464,end,2,0,0
High-Risk,465,overall,48,10,20.833333333333336
High-Risk,465,end,2,0,0
High-Risk,466,overall,96,20,20.833333333333336
High-Risk,466,end,2,0,0
High-Risk,467,overall,120,18,15
High-Risk,467,end,4,0,0
High-Risk,468,overall,128,40,31.25
High-Risk,468,end,1,0,0
High-Risk,469,overall,14666,3628,24.737488067639436
High-Risk,469,end,165,15,9.090909090909092
High-Risk,470,overall,32814,7717,23.517401109282623
High-Risk,470,end,583,8,1.3722126929674099
High-Risk,471,overall,1214,305,25.123558484349257
High-Risk,471,end,25,0,0
High-Risk,472,overall,40728,9171,22.517678255745434
High-Risk,472,end,235,17,7.234042553191489
High-Risk,473,overall,331,60,18.12688821752266
High-Risk,473,end,1,0,0
High-Risk,474,overall,140,31,22.142857142857142
High-Risk,474,end,2,0,0
High-Risk,475,overall,5548,1289,23.233597692862293
High-Risk,475,end,103,0,0
High-Risk,476,overall,11460,2834,24.729493891797556
High-Risk,476,end,252,1,0.3968253968253968
High-Risk,477,overall,849,174,20.49469964664311
High-Risk,477,end,4,0,0
High-Risk,478,overall,113,31,27.43362831858407
High-Risk,478,end,1,0,0
High-Risk,479,overall,3048,711,23.326771653543307
High-Risk,479,end,96,0,0
High-Risk,480,overall,182,38,20.87912087912088
High-Risk,480,end,4,1,25
High-Risk,481,overall,6,1,16.666666666666664
High-Risk,481,end,1,0,0
High-Risk,482,overall,81,19,23.456790123456788
High-Risk,482,end,2,0,0
High-Risk,483,overall,72,13,18.055555555555554
High-Risk,483,end,2,1,50
High-Risk,484,overall,4795,1149,23.962460896767464
High-Risk,484,end,48,2,4.166666666666666
High-Risk,485,overall,623,146,23.434991974317818
High-Risk,485,end,13,0,0
High-Risk,486,overall,3068,694,22.620599739243808
High-Risk,486,end,37,0,0
High-Risk,487,overall,2569,564,21.95406773063449
High-Risk,487,end,33,0,0
High-Risk,488,overall,20,9,45
High-Risk,488,end,3,0,0
High-Risk,489,overall,2066,481,23.281703775411422
High-Risk,489,end,16,1,6.25
High-Risk,490,overall,5626,1425,25.328830430145754
High-Risk,490,end,191,0,0
High-Risk,491,overall,83,17,20.481927710843372
High-Risk,491,end,6,0,0
High-Risk,492,overall,123,29,23.577235772357724
High-Risk,492,end,2,0,0
High-Risk,493,overall,118,25,21.1864406779661
High-Risk,493,end,4,0,0
High-Risk,494,overall,550,102,18.545454545454547
High-Risk,494,end,5,0,0
High-Risk,495,overall,5067,1246,24.59048746792974
High-Risk,495,end,53,0,0
High-Risk,496,overall,14400,2783,19.32638888888889
High-Risk,496,end,148,2,1.3513513513513513
High-Risk,497,overall,674,140,20.77151335311573
High-Risk,497,end,8,0,0
High-Risk,498,overall,8203,1918,23.38168962574668
High-Risk,498,end,98,3,3.061224489795918
High-Risk,499,overall,291,66,22.68041237113402
High-Risk,499,end,6,1,16.666666666666664
High-Risk,500,overall,15686,3775,24.066046155807726
High-Risk,500,end,252,0,0
High-Risk,501,overall,3409,778,22.82194191845116
High-Risk,501,end,99,0,0
High-Risk,502,overall,3125,730,23.36
High-Risk,502,end,108,22,20.37037037037037
High-Risk,503,overall,8319,1921,23.091717754537804
High-Risk,503,end,51,10,19.607843137254903
High-Risk,504,overall,1187,238,20.05054759898905
High-Risk,504,end,10,0,0
High-Risk,505,overall,41,8,19.51219512195122
High-Risk,505,end,1,0,0
High-Risk,506,overall,3355,766,22.831594634873323
High-Risk,506,end,35,0,0
High-Risk,507,overall,721,144,19.972260748959776
High-Risk,507,end,9,0,0
High-Risk,508,overall,17497,3703,21.16362805052295
High-Risk,508,end,177,4,2.2598870056497176
High-Risk,509,overall,144,38,26.38888888888889
High-Risk,509,end,4,0,0
High-Risk,510,overall,121,31,25.6198347107438
High-Risk,510,end,3,0,0
High-Risk,511,overall,7947,1919,24.147477035359255
High-Risk,511,end,91,1,1.098901098901099
High-Risk,512,overall,262,63,24.045801526717558
High-Risk,512,end,5,0,0
High-Risk,513,overall,1248,292,23.397435897435898
High-Risk,513,end,23,0,0
High-Risk,514,overall,15757,3711,23.5514374563686
High-Risk,514,end,406,4,0.9852216748768473
High-Risk,515,overall,342,79,23.099415204678362
High-Risk,515,end,6,0,0
High-Risk,516,overall,194,35,18.04123711340206
High-Risk,516,end,3,0,0
High-Risk,517,overall,28,6,21.428571428571427
High-Risk,517,end,2,0,0
High-Risk,518,overall,637,145,22.762951334379906
High-Risk,518,end,57,1,1.7543859649122806
High-Risk,519,overall,608,129,21.217105263157894
High-Risk,519,end,12,1,8.333333333333332
High-Risk,520,overall,164,41,25
High-Risk,520,end,1,0,0
High-Risk,521,overall,1095,262,23.926940639269407
High-Risk,521,end,14,0,0
High-Risk,522,overall,53,10,18.867924528301888
High-Risk,522,end,2,0,0
High-Risk,523,overall,13170,2997,22.756264236902048
High-Risk,523,end,53,3,5.660377358490567
High-Risk,524,overall,258,51,19.767441860465116
High-Risk,524,end,6,0,0
High-Risk,525,overall,135,36,26.666666666666668
High-Risk,525,end,5,1,20
High-Risk,526,overall,3951,915,23.158694001518604
High-Risk,526,end,38,1,2.631578947368421
High-Risk,527,overall,5112,1230,24.061032863849764
High-Risk,527,end,37,3,8.108108108108109
High-Risk,528,overall,4308,925,21.471680594243267
High-Risk,528,end,108,2,1.8518518518518516
High-Risk,529,overall,1237,265,21.422797089733226
High-Risk,529,end,22,4,18.181818181818183
High-Risk,530,overall,63,16,25.396825396825395
High-Risk,530,end,1,0,0
High-Risk,531,overall,20370,5050,24.791359842906235
High-Risk,531,end,370,0,0
High-Risk,532,overall,2433,575,23.63337443485409
High-Risk,532,end,36,0,0
High-Risk,533,overall,1651,435,26.347668079951546
High-Risk,533,end,27,1,3.7037037037037033
High-Risk,534,overall,1792,411,22.935267857142858
High-Risk,534,end,20,0,0
High-Risk,535,overall,37409,7943,21.23285840305809
High-Risk,535,end,274,3,1.094890510948905
High-Risk,536,overall,292,71,24.315068493150687
High-Risk,536,end,1,0,0
High-Risk,537,overall,1,0,0
High-Risk,537,end,1,0,0
High-Risk,538,overall,822,162,19.708029197080293
High-Risk,538,end,13,2,15.384615384615385
High-Risk,539,overall,483,113,23.395445134575567
High-Risk,539,end,6,1,16.666666666666664
High-Risk,540,overall,4186,976,23.315814620162445
High-Risk,540,end,52,1,1.9230769230769231
High-Risk,541,overall,35712,8042,22.51904121863799
High-Risk,541,end,88,1,1.1363636363636365
High-Risk,542,overall,456,103,22.587719298245617
High-Risk,542,end,1,0,0
High-Risk,543,overall,1691,312,18.450620934358366
High-Risk,543,end,17,0,0
High-Risk,544,overall,1242,286,23.027375201288244
High-Risk,544,end,12,0,0
High-Risk,545,overall,236,42,17.796610169491526
High-Risk,545,end,12,2,16.666666666666664
High-Risk,546,overall,8,0,0
High-Risk,546,end,1,0,0
High-Risk,547,overall,3485,800,22.95552367288379
High-Risk,547,end,42,1,2.380952380952381
High-Risk,548,overall,60,18,30
