group,id_player,prev_outcome,n_round,n_round_change,stake_change_prop,stake_change_size_overall,stake_change_level_overall,stake_change_size,stake_change_level
High-Risk,177,win,6267,79,1.260571246210308,0.003630126057124621,0.011807882559438328,0.2879746835443038,0.9367088607594937
High-Risk,178,loss,829,11,1.3268998793727382,9.047044632086852e-4,0.0024125452352231603,0.06818181818181818,0.18181818181818182
High-Risk,178,win,193,0,0,0,0,NA,NA
High-Risk,179,loss,2,0,0,0,0,NA,NA
High-Risk,179,win,2,0,0,0,0,NA,NA
High-Risk,180,loss,199,5,2.512562814070352,0,-0.005025125628140704,0,-0.2
High-Risk,180,win,50,0,0,0,0,NA,NA
High-Risk,181,loss,568,0,0,0,0,NA,NA
High-Risk,181,win,163,0,0,0,0,NA,NA
High-Risk,182,loss,540,5,0.9259259259259258,9.25925925925926e-4,0.001851851851851852,0.1,0.2
High-Risk,182,win,169,2,1.183431952662722,0.029585798816568046,0.011834319526627219,2.5,1
High-Risk,183,loss,61,1,1.639344262295082,-0.00819672131147541,-0.01639344262295082,-0.5,-1
High-Risk,183,win,22,0,0,0,0,NA,NA
High-Risk,184,loss,367,1,0.2724795640326975,-0.0013623978201634877,-0.0027247956403269754,-0.5,-1
High-Risk,184,win,109,0,0,0,0,NA,NA
High-Risk,185,loss,56,0,0,0,0,NA,NA
High-Risk,185,win,15,0,0,0,0,NA,NA
High-Risk,186,loss,2781,44,1.5821646889608056,-0.0023372887450557353,-0.004674577490111471,-0.14772727272727273,-0.29545454545454547
High-Risk,186,win,812,0,0,0,0,NA,NA
High-Risk,187,loss,2297,18,0.783630822812364,-0.00174140182847192,-0.00348280365694384,-0.2222222222222222,-0.4444444444444444
High-Risk,187,win,735,1,0.13605442176870747,0.0013605442176870747,0.0027210884353741495,1,2
High-Risk,188,loss,4221,20,0.47382136934375735,5.922767116796967e-5,2.3691068467187872e-4,0.0125,0.05
High-Risk,188,win,1356,3,0.22123893805309736,9.218289085545723e-4,0.0022123893805309734,0.4166666666666667,1
High-Risk,189,loss,236,2,0.847457627118644,-0.0031779661016949155,-0.00847457627118644,-0.375,-1
